English,Greek,German
everybody,όλοι,alle
bit,κομμάτι,Bit
couple,ζευγάρι,Paar
whoa,μαχαιρώ,whoa
either,είτε,entweder
Mrs .,Κυρία .,Frau .
feeling,συναισθημα,Gefühl
daughter,κόρη,Tochter
,,#VALUE!
gets,παίρνω,bekommt
asked,ερωτηθείς,fragte
under,κάτω από,unter
break,Διακοπή,brechen
promise,υπόσχεση,versprechen
door,θύρα,Tür
set,σειρά,Satz
close,Κλείσε,schließen
hand,χέρι,Hand
easy,Ανετα,einfach
question,ερώτηση,Frage
doctor,γιατρός,Arzt
tried,δοκιμασμένος,versucht
far,μακριά,weit
walk,Περπατήστε,gehen
needs,ανάγκες,Bedürfnisse
trouble,ταλαιπωρία,Problem
mine,δικος μου,Mine
though,αν και,obwohl
times,φορές,mal
different,διαφορετικός,anders
killed,σκοτωμένος,getötet
hospital,νοσοκομείο,Krankenhaus
anybody,οποιοσδήποτε,irgendjemand
alright,καλώς,In Ordnung
wedding,γάμος,Hochzeit
shut,κλειστός,schließen
able,ικανός,fähig
die,καλούπι,sterben
perfect,τέλειος,perfekt
police,αστυνομία,Polizei
stand,στάση,Stand
comes,προέρχομαι,kommt
hit,Κτύπημα,Schlag
story,ιστορία,Geschichte
ya,ναι,ya
mm,mm,mm
waiting,αναμονή,warten
dinner,βραδινό,Abendessen
against,κατά,gegen
funny,αστείος,lustig
husband,σύζυγος,Ehemann
almost,σχεδόν,fast
stupid,χαζος,dumm
pay,πληρωμή,zahlen
answer,απάντηση,antworten
four,τεσσάρων,vier
office,γραφείο,Büro
cool,δροσερός,Cool
eyes,μάτια,Augen
news,Νέα,Nachricht
child,παιδί,Kind
shouldn't,δεν πρέπει,sollte nicht
half,Ήμισυ,Hälfte
side,πλευρά,Seite
yours,δικος σου,dein
moment,στιγμή,Moment
sleep,ύπνος,schlafen
read,ανάγνωση,lesen
where's,που είναι,wo ist
started,ξεκίνημα,gestartet
young,νέος,jung
men,άνδρες,Männer
sounds,ήχοι,Geräusche
sonny,υιός,Sonny
lucky,τυχερός,glücklich
pick,διαλέγω,wählen
sometimes,ωρες ωρες,Manchmal
em,εξομάλμομαι,em
bed,κρεβάτι,Bett
also,επίσης,Auch
date,ημερομηνία,Datum
line,γραμμή,Linie
plan,σχέδιο,planen
hours,ώρες,Std.
lose,χάνω,verlieren
fire,Φωτιά,Feuer
free,Ελεύθερος,frei
hands,χέρια,Hände
serious,σοβαρός,ernst
,,#VALUE!
shit,σκατά,Scheisse
behind,πίσω,hinter
inside,μέσα,innen
high,υψηλός,hoch
ahead,εμπρός,voraus
week,εβδομάδα,Woche
wonderful,εκπληκτικός,wunderbar
,,#VALUE!
fight,πάλη,Streit
past,το παρελθόν,Vergangenheit
cut,Τομή,schneiden
quite,αρκετά,ganz
number,αριθμός,Nummer
he'll,κόλαση,Hölle
sick,άρρωστος,krank
,,#VALUE!
it'll,θα,es wird
game,παιχνίδι,Spiel
eat,τρώω,essen
nobody,κανείς,niemand
goes,πηγαίνω,geht
death,θάνατος,Tod
along,κατά μήκος,entlang
save,αποθηκεύσετε,speichern
seems,φαίνεται,scheint
finally,τελικά,Endlich
lives,ζει,Leben
worried,ανήσυχος,besorgt
upset,αναστατωμένος,verärgern
,,#VALUE!
,,#VALUE!
,,#VALUE!
met,συνάντησε,getroffen
book,Βιβλίο,Buch
brought,έφερε,gebracht
seem,φαίνομαι,erscheinen
sort,είδος,Sortieren
safe,ασφαλής,sicher
living,ζωή,Leben
children,παιδιά,Kinder
weren't,δεν ήταν,war nicht
leaving,φεύγω,Verlassen
front,εμπρός,Vorderseite
shot,βολή,Schuss
loved,αγαπημένος,geliebt
asking,ερωτώντας,fragen
running,τρέξιμο,Betrieb
clear,Σαφή,klar
figure,εικόνα,Figur
hot,ζεστό,heiß
felt,ένιωσα,gefühlt
six,έξι,sechs
parents,γονείς,Eltern
drink,ποτό,trinken
absolutely,απολύτως,absolut
how's,πως,wie ist
daddy,πατερούλης,Vati
sweet,γλυκός,süss
alive,ζωντανός,lebendig
Paul,Παύλος,Paul
sense,έννοια,Sinn
meant,ενδεχομένως,gemeint
happens,συμβαίνει,das passiert
David,Δαβίδ,David
special,ειδικός,speziell
bet,στοίχημα,Wette
blood,αίμα,Blut
ain't,δεν είναι,Ich bin nicht
kidding,αστεϊσμός,scherzhaft
lie,ψέμα,Lüge
full,γεμάτος,voll
meeting,συνάντηση,treffen
dear,αγαπητός,Liebling
coffee,καφές,Kaffee
seeing,βλέπων,Sehen
sound,ήχος,Klang
fault,σφάλμα,Fehler
water,νερό,Wasser
fuck,γαμώ,Scheiße
ten,δέκα,zehn
women,γυναίκες,Frauen
welcome,καλως ΗΡΘΑΤΕ,Willkommen
buy,αγορά,besorgen
months,μήνες,Monate
hour,ώρα,Stunde
speak,μιλώ,sprechen
lady,κυρία,Dame
,,#VALUE!
thinks,νομίζω,denkt
Christmas,Χριστούγεννα,Weihnachten
body,σώμα,Körper
order,Σειρά,Befehl
outside,εξω απο,außen
hang,κρεμάω,aufhängen
possible,δυνατόν,möglich
worse,χειρότερος,schlechter
company,Εταιρία,Unternehmen
mistake,λάθος,Fehler
,,#VALUE!
handle,λαβή,handhaben
spend,δαπανήσει,ausgeben
,,#VALUE!
totally,τελείως,total
giving,δίνοντας,geben
control,έλεγχος,Kontrolle
here's,εδώ,Hier ist
marriage,γάμος,Hochzeit
realize,συνειδητοποιώ,realisieren
,,#VALUE!
power,εξουσία,Leistung
president,Πρόεδρος,Präsident
unless,εκτός,es sei denn
sex,φύλο,Sex
girls,κοριτσάκι,Mädchen
send,στείλετε,schicken
needed,απαιτείται,erforderlich
,,#VALUE!
taken,λήφθηκε,vergriffen
died,πέθανε,gestorben
scared,φοβισμένος,verängstigt
picture,εικόνα,Bild
talked,μιλώ,redete
,,#VALUE!
,,#VALUE!
ass,γάιδαρος,Arsch
hundred,εκατό,hundert
changed,άλλαξαν,geändert
completely,εντελώς,vollständig
explain,εξηγώ,erklären
playing,παιχνίδι,Spielen
certainly,σίγουρα,sicherlich
sign,σημάδι,Zeichen
boys,αγόρια,Jungen
relationship,σχέση,Beziehung
Michael,Μιχαήλ,Michael
loves,λατρεύει,Liebt
fucking,γαμημένος,Ficken
hair,μαλλιά,Haar
lying,ξαπλωμένη,lügnerisch
choice,επιλογή,Auswahl
anywhere,οπουδήποτε,überall
secret,μυστικό,Geheimnis
future,μελλοντικός,Zukunft
weird,Περίεργο,seltsam
luck,τυχη,Glück
she'll,κέλυφος,Hülse
max .,Μέγιστη .,Max.
Luis,Λουίς,Luis
turned,στριμωγμένος,gedreht
known,γνωστός,bekannt
touch,αφή,berühren
kiss,φιλί,Kuss
crane,γερανός,Kran
questions,ερωτήσεις,Fragen
obviously,προφανώς,offensichtlich
wonder,θαύμα,Wunder
pain,πόνος,Schmerz
calling,κλήση,Berufung
somewhere,κάπου,irgendwo
throw,βολή,Wurf
straight,ευθεία,gerade
Grace ,Χάρη,Anmut
cold,κρύο,kalt
white,άσπρο,Weiss
fast,γρήγορα,schnell
Natalie,Νάτσια,Natalie
words,λόγια,Wörter
R .,R.,R .
food,τροφή,Essen
none,κανένας,keiner
drive,οδηγώ,Antrieb
feelings,συναισθήματα,Gefühle
they'll,θα,sie werden
worked,εργαζόμενος,hat funktioniert
marry,παντρεύω,heiraten
light,φως,Licht
test,δοκιμή,prüfen
drop,πτώση,tropfen
cannot,δεν μπορώ,kann nicht
,,#VALUE!
sent,Απεσταλμένα,gesendet
city,πόλη,Stadt
dream,όνειρο,Traum
protect,προστατεύω,schützen
twenty,είκοσι,zwanzig
class,τάξη,Klasse
,,#VALUE!
surprise,έκπληξη,Überraschung
its,του,es ist
sweetheart,Αγαπημένος,Schatz
forever,για πάντα,für immer
poor,Φτωχός,arm
looked,κοίταυσα,sah
mad,τρελός,verrückt
except,εκτός,außer
gun,όπλο,Pistole
y'know,ξέρεις,Weißt du
dance,χορός,tanzen
takes,παίρνει,nimmt
appreciate,Εκτιμώ,anerkennen
especially,ειδικά,besonders
situation,κατάσταση,Situation
besides,εκτός,neben
weeks,εβδομάδες,Wochen
pull,Τραβήξτε,ziehen
himself,ο ίδιος,sich selbst
hasn't,δεν έχει,hat nicht
act,υποκρίνομαι,Gesetz
worth,αξία,Wert
Sheridan,Σέρινταν,Sheridan
amazing,φοβερο,toll
top,μπλουζα,Spitze
given,δεδομένος,gegeben
expect,αναμένω,erwarten
Ben,Μπεν,Ben
rather,μάλλον,eher
Julian,Ιουλιανός,julianisch
involved,εμπλεγμένος,beteiligt
swear,ορκίζομαι,schwören
piece,κομμάτι,Stück
busy,απασχολημένος,beschäftigt
law,νόμος,Gesetz
decided,αποφασισμένος,entschieden
black,μαύρος,Schwarz
Joey,Ιωδιέζων,Joey
happening,συμβαίνει,Ereignis
movie,ταινία,Film
we'd,νυμφεύομαι,heiraten
catch,σύλληψη,fangen
Antonio,Αντόνιο,Antonio
country,Χώρα,Land
less,πιο λιγο,weniger
perhaps,ίσως,womöglich
step,βήμα,Schritt
fall,πτώση,fallen
watching,βλέποντας,Aufpassen
kept,διατηρημένος,gehalten
darling,πολυαγαπημένος,Schatz
dog,σκύλος,Hund
Ms .,Κυρία .,MS .
win,νίκη,gewinnen
air,αέρας,Luft
honor,τιμή,ehren
personal,προσωπικός,persönlich
moving,κίνηση,ziehen um
till,έως,bis
admit,ομολογώ,zugeben
problems,προβλήματα,Probleme
murder,δολοφονία,Mord
strong,ισχυρός,stark
he'd,ο,er würde
evil,κακό,teuflisch
definitely,οπωσδηποτε,definitiv
feels,αίσθηση,fühlt sich
information,πληροφορίες,Information
honest,τίμιος,ehrlich
eye,μάτι,Auge
broke,έσπασε,Pleite
missed,αναπάντητες,vermisst
longer,μακρύτερα,länger
dollars,δολάρια,Dollar
tired,κουρασμένος,müde
Jason,Ιάσονας,Jason
George,Γεώργιος,George
evening,απόγευμα,Abend
human,ο άνθρωπος,menschlich
starting,εκκίνηση,beginnend
Ross,Γρύλος,Ross
red,το κόκκινο,Rot
entire,ολόκληρος,gesamte
trip,ταξίδι,Reise
club,Λέσχη,Verein
suppose,υποθέτω,vermuten
calm,ηρεμία,ruhig
imagine,φαντάζομαι,vorstellen
fair,έκθεση,gerecht
caught,αλιευμένος,erwischt
blame,κατηγορώ,beschuldigen
street,δρόμος,Straße
sitting,συνεδρίαση,Sitzung
favor,εύνοια,favorisieren
apartment,διαμέρισμα,Wohnung
court,δικαστήριο,Gericht
terrible,τρομερός,abscheulich
clean,ΚΑΘΑΡΗ,sauber
learn,μαθαίνω,lernen
works,έργα,Arbeiten
rose,τριαντάφυλλο,Rose
relax,χαλαρώστε,entspannen
million,εκατομμύριο,Million
charity,φιλανθρωπία,Wohltätigkeit
accident,ατύχημα,Unfall
wake,ίχνη,aufwachen
prove,αποδεικνύω,beweisen
smart,έξυπνος,schlau
message,μήνυμα,Nachricht
missing,λείπει,fehlen
forgot,ξέχασα,vergessen
small,μικρό,klein
interested,ενδιαφερόμενος,interessiert
table,τραπέζι,Tisch
nbsp,σούπας,nbsp
become,γίνομαι,werden
mouth,στόμα,Mund
pregnant,έγκυος,schwanger
middle,Μέσης,Mitte
billy,ρόπαλο,Billy
ring,δαχτυλίδι,Ring
careful,προσεκτικός,vorsichtig
shall,θα,soll
dude,Φίλε,Alter
team,ομάδα,Team
ride,βόλτα,Fahrt
figured,σχηματικός,gezeichnet
wear,φορούν,tragen
shoot,βλαστός,schießen
stick,ραβδί,Stock
ray,ακτίνα,Strahl
follow,ακολουθηστε,folgen
angry,θυμωμένος,wütend
instead,αντι αυτου,stattdessen
buddy,φίλε,Kumpel
write,γράφω,schreiben
stopped,σταμάτησα,gestoppt
early,νωρίς,früh
angel,άγγελος,Engel
nick,Νίκος,Nick
ran,έτρεξα,rannte
war,πόλεμος,Krieg
standing,ορθοστασία,Stehen
forgive,συγχωρώ,verzeihen
jail,φυλακή,Gefängnis
wearing,κουραστικός,Verschleiß
ladies,Κυρίες,Damen
kinda,κάπως,irgendwie
lunch,μεσημεριανό,Mittagessen
eight,οκτώ,acht
gotten,πήρε,bekommen
hoping,ελπίζοντας,Hoffentlich
thousand,χίλια,tausend
ridge,κορυφογραμμή,Grat
music,ΜΟΥΣΙΚΗ,Musik
paper,χαρτί,Papier
tough,σκληρός,hart
tape,ταινία-κασέτα,Band
state,κατάσταση,Zustand
count,μετρώ,zählen
college,Κολλέγιο,Hochschule
boyfriend,φίλος,Freund
proud,υπερήφανος,stolz
agree,συμφωνώ,zustimmen
birthday,γενέθλια,Geburtstag
bill,νομοσχέδιο,Rechnung
seven,επτά,Sieben
they've,Έχουν,Sie haben
history,ιστορία,Geschichte
share,μερίδιο,Aktie
offer,προσφορά,Angebot
hurry,βιασύνη,sich beeilen
ow,ωχτώ,ow
feet,πόδια,Füße
wondering,αναρωτιέμαι,wundern sich
simple,απλός,einfach
decision,απόφαση,Entscheidung
building,Κτίριο,Gebäude
ones,από αυτά,Einsen
finish,φινίρισμα,beenden
voice,φωνή,Stimme
herself,εαυτήν,Sie selber
would've,θα είχα,hätte
list,λίστα,Liste
mess,Ανω ΚΑΤΩ,Durcheinander
deserve,αξίζω,verdienen
evidence,απόδειξη,Beweis
cute,χαριτωμένος,Niedlich
dress,φόρεμα,Kleid
interesting,ενδιαφέρων,interessant
hotel,ξενοδοχειο,Hotel
enjoy,απολαμβάνω,genießen
quiet,ησυχια,ruhig
concerned,ενδιαφερόμενος,betroffen
road,δρόμος,Straße
eve,παραμονή,Vorabend
staying,παραμονή,bleiben
short,μικρός,kurz
beat,Ρυθμός,schlagen
sweetie,γλυκιά μου,Schätzchen
mention,αναφέρω,erwähnen
clothes,ρούχα,Kleidung
finished,πεπερασμένος,fertig
fell,καταρρίπτω,fällen
neither,κανενα απο τα δυο,weder
mmm,μμμ,mmm
fix,διορθώσετε,Fix
victor,νικητής,Sieger
respect,Σεβασμός,respektieren
spent,δαπανών,ausgegeben
prison,φυλακή,Gefängnis
attention,προσοχή,Aufmerksamkeit
holding,κράτημα,Holding
calls,κλήσεις,Anrufe
near,κοντά,nahe
surprised,έκπληκτος,überrascht
bar,μπαρ,Bar
pass,πέρασμα,passieren
keeping,τήρηση,Halten
gift,δώρο,Geschenk
hadn't,δεν είχα,hatte nicht
putting,βάζοντας,Putten
dark,σκοτάδι,dunkel
self,εαυτός,selbst
owe,οφείλω,verdanken
using,χρησιμοποιώντας,Verwendung
ice,πάγος,Eis
helping,βοήθεια,Portion
normal,κανονικός,normal
aunt,θεία,Tante
lawyer,δικηγόρος,Rechtsanwalt
apart,χώρια,auseinander
certain,βέβαιος,bestimmt
plans,σχέδια,Pläne
girlfriend,φιλενάδα,Freundin
floor,πάτωμα,Boden
whether,αν,ob
everything 's,όλα τα πράγματα,alles
present,παρόν,gegenwärtig
earth,γη,Erde
private,ιδιωτικός,Privatgelände
box,κουτί,Kasten
cover,κάλυμμα,Abdeckung
judge,δικαστής,Richter
upstairs,επάνω,nach oben
sake,χάρη,Gunst
mommy,μαμά,Mama
possibly,πιθανώς,möglicherweise
worst,κατισχύω,schlimmste
